Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Nov,1879,injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,estuary/harbour,white shark,,unprovoked,swimming,,thigh,male,15,
Jan,1880,fatal,QLD,"cairns, fitzroy island",-16.9,145.9833333,island open ocean,tiger shark,,unprovoked,swimming,,other: body not recovered,male,,
Jan,1880,injured,NSW,"lake macquarie, dora creek",-33.08333333,151.5,estuary/harbour,bull shark,,unprovoked,swimming,,foot,female,13,
Jan,1880,injured,QLD,"brisbane river, ipswich",-27.51666667,152.9,river,bull shark,,unprovoked,swimming,,leg,male,22,
Nov,1880,fatal,QLD,"brisbane river, kangaroo point",-27.46666667,153.0333333,river,bull shark,,unprovoked,swimming,,leg,male,15,
Jan,1881,uninjured,NSW,"lake macquarie, pelican flat",-31.06666667,152.6333333,estuary/harbour,bull shark,3.5,unprovoked,swimming,,other: uninjured,female,,
Jan,1881,injured,QLD,"hervey bay, wide bay",-25.25,152.85,coastal,tiger shark,,unprovoked,,,foot,female,16,
Aug,1881,injured,QLD,great barrier reef (unknown location),-20,148.8,ocean/pelagic,tiger shark,,provoked,spearfishing,,leg,male,,
Nov,1881,fatal,NSW,"rushcutters bay, sydney harbour",-33.86666667,151.2333333,estuary/harbour,bull shark,,unprovoked,swimming,,other: body not recovered,male,,
Dec,1881,injured,QLD,"kolan river, bunbagerg",-24.83333333,152.1166667,river,bull shark,,unprovoked,swimming,,arm,male,,
Jan,1882,injured,WA,broome (area),-17.98333333,122.2333333,coastal,tiger shark,,provoked,snorkelling,,,male,,
Apr,1882,fatal,NSW,lake macquarie heads,-33.08333333,151.65,estuary/harbour,white shark,,unprovoked,,,torso,male,,
May,1882,injured,NSW,"miller's point, sydney harbour",-33.85,151.2,coastal,wobbegong,,unprovoked,swimming,behind,calf,male,,
May,1882,fatal,WA,broome area (nintey mile beach),-15.88333333,122,coastal,tiger shark,,provoked,snorkelling,,torso,male,,
Dec,1882,fatal,WA,broome (area),-17.98333333,122.2333333,coastal,tiger shark,,provoked,snorkelling,,,male,,
Jan,1883,fatal,NSW,"iron cove bay, sydney",-33.85,151.15,estuary/harbour,bull shark,,unprovoked,swimming,,torso,male,37,
Dec,1883,fatal,NSW,"parramatta river, sydney",-33.86666667,151.2,estuary/harbour,bull shark,,unprovoked,swimming,,torso,male,21,
Dec,1883,uninjured,NSW,"store beach, quarantine, manly",-33.8,151.2833333,estuary/harbour,bull shark,2.8,provoked,swimming,,other: uninjured,male,,
Jan,1884,fatal,SA,port pirie,-33.18333333,137.9833333,coastal,white shark,,unprovoked,swimming,,other: body not recovered,female,16,
Oct,1885,uninjured,NSW,parramatta river,-33.81666667,151.05,river,bull shark,,unprovoked,swimming,,other: uninjured,female,,
Nov,1885,injured,WA,bunbury,-33.31666667,115.6333333,coastal,white shark,,unprovoked,swimming,,calf,male,,
Jan,1886,uninjured,QLD,maryborough harbour,-25.53333333,152.7,estuary/harbour,bull shark,,unprovoked,swimming,,other: uninjured,male,,
Apr,1886,injured,QLD,"fitzroy river, rotheway bay",-23.38333333,150.6333333,river,bull shark,,unprovoked,swimming,,"arm, hand",male,,
Feb,1887,uninjured,NSW,"manly wharf, sydney",-33.8,151.2833333,estuary/harbour,whaler shark,,unprovoked,unmotorised boating,,other: uninjured,male,,
Dec,1887,fatal,NSW,"ryde, sydney harbour",-33.81666667,151.0833333,river,bull shark,4,unprovoked,swimming,other: side,"torso, leg, pelvic region",male,25,
Sep,1888,injured,QLD,cooktown (gbr),-19.85,145.4,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Dec,1888,fatal,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,,unprovoked,swimming,,torso,male,11,
Jul,1889,fatal,VIC,port phillip bay heads,-38.33333333,144.6166667,ocean/pelagic,white shark,,unprovoked,swimming,,other: body not recovered,male,,
Jan,1890,injured,TAS,"derwent, bridgewater",-42.73333333,147.2333333,river,broadnose sevengill shark,3,unprovoked,swimming,,thigh,male,,
Apr,1891,uninjured,NSW,tathra wharf,-36.71666667,149.9833333,coastal,wobbegong,,provoked,diving,,other: uninjured,male,,
Jun,1891,injured,VIC,point danger of torquay,-38.33333333,144.3166667,coastal,wobbegong,2.1,provoked,snorkelling,,arm,male,,
Jan,1892,fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,river,tiger shark,,provoked,diving,,torso,male,,
Mar,1892,injured,QLD,"rockhampton, fitzroy river",-23.36666667,150.5,river,bull shark,,unprovoked,swimming,below,calf,male,,
Nov,1892,injured,QLD,"moreton bay, wellington point",-27.45,153.2166667,coastal,whaler shark,,unprovoked,swimming,behind,leg,female,,
Dec,1892,injured,QLD,brisbane river,-27.43333333,153.0833333,island open ocean,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1893,uninjured,WA,geraldton,-28.76666667,114.6,coastal,wobbegong,,provoked,fishing,,other: uninjured,male,,
Jan,1893,fatal,QLD,claremont isles national park,-13.93333333,143.7333333,ocean/pelagic,tiger shark,,unprovoked,swimming,,other: body not recovered,male,,
Apr,1893,injured,QLD,"torres strait, cap island",-9.816666667,142.7,island open ocean,tiger shark,,unprovoked,swimming,,leg,male,,
Nov,1894,injured,NSW,newcastle beach,-32.91666667,151.7833333,coastal,white shark,2,unprovoked,swimming,,arm,male,,
Jan,1895,uninjured,QLD,brisbane river,-27.46666667,153,river,bull shark,,unprovoked,unmotorised boating,,other: uninjured,male,25,
