Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Jan,1946,fatal,NSW,"georges river, oatley bay, sydney",-33.98333333,151.0833333,river,bull shark,,unprovoked,swimming,below,leg,female,14,
Feb,1946,injured,WA,"city beach, perth",-31.93333333,115.75,coastal,white shark,4.2,unprovoked,swimming,,"thigh, calf, foot",male,18,
Apr,1946,fatal,QLD,"trinity beach, cairns",-16.78333333,145.7,coastal,tiger shark,,unprovoked,swimming,,"arm, leg",male,17,
Aug,1946,fatal,QLD,"ellis beach, cairns",-16.71666667,145.6333333,coastal,tiger shark,4.8,unprovoked,swimming,,torso,male,30,
Oct,1946,injured,NSW,"lake macquarie, mark's point",-33.05,151.6333333,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,15,
Nov,1946,fatal,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,arm,male,30,
Dec,1946,injured,SA,"glenelg jetty, adelaide",-34.96666667,138.5,coastal,white shark,,unprovoked,swimming,,"arm, hand",male,23,
Jul,1947,uninjured,NT,darwin harbour,-12.45,130.7833333,estuary/harbour,tiger shark,,provoked,diving,,other: uninjured,male,,
Oct,1947,injured,QLD,mornington island,-16.55,139.4,island open ocean,tiger shark,,unprovoked,other: standing in water,,leg,male,,
Nov,1947,fatal,NSW,"port macquarie, wilson river",-31.33333333,152.8333333,river,bull shark,,unprovoked,swimming,,leg,male,12,
Nov,1947,injured,NSW,"port macquarie, wilson river",-31.33333333,152.8333333,river,bull shark,,unprovoked,swimming,,foot,male,13,
Dec,1947,injured,NSW,"watson taylor lake, laurieton",-31.7,152.75,estuary/harbour,bull shark,2,provoked,fishing,,thigh,male,9,
Jan,1948,injured,WA,rottnest island,-31.98333333,115.5333333,island open ocean,wobbegong,0.8,provoked,swimming,,leg,male,,
Feb,1948,fatal,NSW,"stockton beach, newcastle",-32.85,151.8333333,coastal,tiger shark,4,unprovoked,swimming,,"torso, leg",male,16,
Nov,1948,injured,QLD,"torres strait, saibai island",-9.633333333,142.6833333,island open ocean,tiger shark,,provoked,snorkelling,,leg,male,41,
Dec,1948,fatal,QLD,"caloundra, kings beach",-26.8,153.1333333,coastal,tiger shark,,unprovoked,swimming,,"arm, leg, pelvic region",male,28,
Dec,1948,uninjured,NSW,"nielson park, sydney harbour",-33.85,151.25,estuary/harbour,tiger shark,2,provoked,spearfishing,,other: uninjured,male,,
Jan,1949,uninjured,NSW,"bondi north, ben buckler, sydney",-33.88333333,151.2666667,coastal,whaler shark,,provoked,boarding,,other: uninjured,male,32,
Jan,1949,injured,NSW,evans head,-29.1,153.4333333,coastal,wobbegong,,provoked,,,leg,male,,
Jan,1949,uninjured,NSW,"mona vale beach, sydney",-33.66666667,151.3,coastal,white shark,3,unprovoked,boarding,below,other: uninjured,male,0,
Jan,1949,fatal,NSW,"bar beach, newcastle",-32.93333333,151.75,coastal,white shark,4,unprovoked,swimming,below,"leg, hand",male,20,
Feb,1949,uninjured,NSW,"newport, sydney",-33.65,151.3166667,coastal,white shark,3.6,unprovoked,boarding,,other: uninjured,male,,
Apr,1949,fatal,QLD,"ellis beach, cairns",-16.71666667,145.6333333,coastal,tiger shark,3.6,unprovoked,swimming,,leg,male,13,
May,1949,injured,WA,"broome, gantheaume point",-17.96666667,122.1666667,coastal,bull shark,2.7,unprovoked,swimming,,arm,female,22,
Aug,1949,injured,TAS,"flinders island, bass strait.",-40.11666667,148.9333333,island open ocean,white shark,,unprovoked,swimming,below,thigh,male,18,
Aug,1949,injured,QLD,"yorkey knob beach, cairns",-16.81666667,145.7666667,coastal,tiger shark,,unprovoked,swimming,,torso,male,21,
Aug,1949,fatal,QLD,"yorkey knob beach, cairns",-16.81666667,145.7666667,coastal,tiger shark,,unprovoked,swimming,,torso,male,34,
Nov,1949,injured,NSW,"botany bay, kurnell",-34,151.2,coastal,wobbegong,2,provoked,swimming,,arm,male,36,
Jan,1950,injured,VIC,"port phillip bay, south beach, werribee",-37.96666667,144.7,coastal,wobbegong,,provoked,swimming,,foot,male,,
Apr,1950,fatal,QLD,"cairns, kings beach",-16.9,145.85,Coastal,tiger shark,,unprovoked,swimming,,,male,50,
Nov,1950,injured,QLD,burleigh heads,-28.1,153.1,coastal,bull shark,3.6,unprovoked,swimming,behind,"hand, pelvic region",male,21,
Nov,1950,uninjured,QLD,yeppoon,-23.11666667,150.7333333,coastal,tiger shark,,unprovoked,unmotorised boating,below,other: uninjured,male,18,
Dec,1950,fatal,QLD,"palm beach, gold coast",-28.1,153.4666667,coastal,tiger shark,,unprovoked,swimming,,"leg, torso",male,20,
Feb,1951,injured,NSW,"windang, lake illawarra, wollongong",-34.53333333,150.8666667,estuary/harbour,bull shark,,provoked,spearfishing,right,"thigh, torso",male,20,
Feb,1951,injured,NSW,"bondi beach, sydney",-33.88333333,151.2666667,coastal,unknown,1.2,unprovoked,swimming,,leg,male,14,
Mar,1951,injured,NSW,"avalon beach, sydney.",-33.63333333,151.3166667,coastal,wobbegong,1.8,provoked,boarding,,torso,male,23,
Sep,1951,fatal,QLD,fitzroy river,-23.38333333,150.55,river,bull shark,,unprovoked,swimming,,"leg, torso",male,56,
Oct,1951,fatal,QLD,"townsville, kissing point",-19.23333333,146.8,coastal,tiger shark,,unprovoked,swimming,,"hand, torso, thigh",male,42,
Dec,1951,fatal,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,white shark,2.4,unprovoked,swimming,below,"arm, leg, torso",male,21,
Dec,1951,uninjured,NSW,"terrigal, central coast",-33.36666667,151.4333333,coastal,white shark,3.7,unprovoked,boarding,below,other: uninjured,male,32,
Jan,1952,injured,NSW,evan's head,-29.1,153.4333333,coastal,wobbegong,2.4,unprovoked,boarding,,"calf, foot",male,,
Feb,1952,uninjured,QLD,"townsville, ross creek",-19.25,146.8166667,estuary/harbour,bull shark,,provoked,,,other: uninjured,male,,
May,1952,injured,WA,boyup brook (area),-35.06666667,117.05,coastal,wobbegong,,provoked,fishing,,"arm, hand",male,,
Nov,1952,injured,VIC,"somers beach, westernport",-38.38333333,145.15,coastal,white shark,1.8,unprovoked,swimming,,torso,male,23,
Dec,1952,injured,SA,cape douglas,-38.01666667,140.5666667,coastal,white shark,2.5,provoked,fishing,,thigh,male,25,
Feb,1953,injured,NSW,sydney,-33.86666667,151.2,coastal,wobbegong,,provoked,spearfishing,,leg,male,,
Feb,1953,injured,NSW,"shellharbour, wollongong",-34.56666667,150.8666667,coastal,wobbegong,1.8,provoked,spearfishing,in front,head,male,25,
Feb,1953,injured,NSW,"collaroy beach, sydney",-33.71666667,151.3,coastal,wobbegong,,provoked,spearfishing,,foot,male,,
Mar,1953,injured,NSW,"long reef, sydney",-33.73333333,151.3,coastal,tiger shark,4,provoked,spearfishing,,arm,male,23,
Dec,1953,uninjured,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,3.7,unprovoked,swimming,,other: uninjured,male,26,
Dec,1953,injured,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,3.7,unprovoked,swimming,,"arm, leg",male,26,
Dec,1953,injured,QLD,"palm beach, gold coast",-28.11666667,153.4666667,coastal,white shark,,unprovoked,swimming,,torso,male,16,
Jan,1954,injured,SA,port macdonnell,-38.05,140.7,coastal,wobbegong,,provoked,,,"arm, hand",male,,
Jan,1954,injured,QLD,"torres strait, naghir island",-10.23333333,142.4833333,island open ocean,tiger shark,1.6,provoked,spearfishing,,arm,female,,
Jan,1954,injured,NSW,avoca beach,-33.45,151.4333333,coastal,whaler shark,,unprovoked,swimming,,arm,male,,
Feb,1954,fatal,NSW,"the entrance, gosford",-33.33333333,151.5,coastal,white shark,,unprovoked,swimming,,thigh,male,23,
Jun,1954,injured,QLD,"cairns,  fitzroy island",-16.91666667,145.99445,island open ocean,tiger shark,2.4,provoked,snorkelling,,"arm, shoulder",male,30,
Sep,1954,fatal,QLD,"torres strait, darnley (erub) island",-9.583333333,143.7666667,island open ocean,tiger shark,,provoked,spearfishing,,,male,,
Jan,1955,fatal,NSW,"balmoral beach, wyargine point",-33.81666667,151.25,estuary/harbour,bull shark,4,provoked,spearfishing,behind,"leg, hand",male,13,
Feb,1955,fatal,NSW,"sugarloaf bay, sydney harbour",-33.78333333,151.2166667,estuary/harbour,bull shark,3.6,unprovoked,swimming,,leg,male,25,
Mar,1955,fatal,NSW,"wamberal beach, gosford.",-33.41666667,151.45,coastal,white shark,,unprovoked,swimming,,other: body not recovered,male,22,
Oct,1955,injured,QLD,tully (5 miles off),-17.93333333,145.9333333,island open ocean,wobbegong,1.8,provoked,spearfishing,,"arm, hand",male,28,
Jan,1956,injured,QLD,innisfail (off shore reef),-17.71666667,146.4,island open ocean,tiger shark,5,provoked,snorkelling,in front,leg,male,18,
Feb,1956,fatal,QLD,"mackay, rocklea reach, pioneer river",-21.11666667,149.15,river,bull shark,,unprovoked,swimming,,leg,male,14,
Feb,1956,injured,VIC,"cowes jetty, phillip island",-38.43333333,145.2333333,coastal,wobbegong,0.9,unprovoked,swimming,,leg,male,,
Feb,1956,uninjured,VIC,"port phillip bay, black rock beach",-37.96666667,145,coastal,bronze whaler shark,3.6,provoked,spearfishing,behind,other: uninjured,male,19,
Mar,1956,uninjured,WA,"woodmans point, perth",-32.13333333,115.7333333,coastal,whaler shark,,unprovoked,diving,right,other: uninjured,male,25,
Mar,1956,fatal,VIC,portsea beach,-38.33333333,144.7,coastal,white shark,4,unprovoked,swimming,in front,torso,male,26,
May,1956,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,,male,,
Aug,1956,injured,QLD,"southport, surfers paradise",-28,153.4166667,coastal,wobbegong,1.2,provoked,diving,,arm,male,,
Jan,1957,uninjured,NSW,"byron bay, sharkey's beach ",-28.63333333,153.6166667,coastal,white shark,,unprovoked,boarding,,other: uninjured,male,,
Feb,1957,fatal,WA,cape leveque,-16.38333333,122.9166667,coastal,tiger shark,,unprovoked,swimming,,,male,,
Apr,1957,injured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,wobbegong,,unprovoked,swimming,,foot,male,15,
Apr,1957,injured,QLD,"torres strait, hervey island harbour",-10.56666667,142.2166667,estuary/harbour,tiger shark,,provoked,swimming,,"arm, shoulder",male,22,
May,1957,injured,NSW,"port stephens, mount yakaba head",-32.68333333,152.1833333,coastal,white shark,,provoked,spearfishing,behind,thigh,male,28,
Jul,1957,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,3,provoked,snorkelling,in front,arm,male,36,
Jan,1958,injured,NSW,brunswick heads,-28.53333333,153.55,coastal,wobbegong,,unprovoked,swimming,,foot,male,14,
Jan,1958,injured,NSW,"swan lake, sussex inlet",-35.2,150.55,coastal,white shark,3,provoked,spearfishing,,leg,male,17,
Feb,1958,uninjured,NSW,"lake macquarie, speers point",-33.05,151.6333333,estuary/harbour,bull shark,3.1,provoked,fishing,,other: uninjured,male,,
Mar,1958,fatal,QLD,"torres strait, umaga (york) island",-9.75,143.4,island open ocean,tiger shark,,provoked,spearfishing,,leg,male,24,
Mar,1958,uninjured,VIC,"port phillip bay, mornington, marina cove",-38.21666667,145.0166667,coastal,bronze whaler shark,2.2,provoked,spearfishing,behind,other: uninjured,male,,
Sep,1958,injured,NSW,"port stephens, shoal bay",-32.71666667,152.1666667,coastal,wobbegong,1.8,provoked,spearfishing,,"arm, hand",male,,
Nov,1958,fatal,QLD,surfers paradise,-28,153.4166667,coastal,tiger shark,,unprovoked,swimming,,torso,male,22,
Jan,1959,injured,WA,"swan river, south perth",-31.95,115.85,river,bull shark,1.5,provoked,fishing,,calf,male,20,
Jan,1959,injured,QLD,"mooloolaba, alexandra headland",-26.66666667,153.1166667,coastal,wobbegong,1.8,unprovoked,swimming,,foot,male,18,
Jan,1959,fatal,TAS,"safety cove, port arthur",-43.15,147.85,coastal,white shark,,unprovoked,swimming,,other: body not recovered,male,22,
Jan,1959,injured,TAS,"whale bay, king island",-39.85,143.8333333,island open ocean,white shark,,unprovoked,unmotorised boating,,leg,male,16,
Apr,1959,uninjured,NSW,thirroul near wollongong,-34.3,150.9166667,coastal,whaler shark,,provoked,spearfishing,,other: uninjured,male,,
Apr,1959,injured,QLD,"torres strait, coconut island",-10.58333333,142.2166667,island open ocean,tiger shark,1.8,provoked,,,"arm, hand",male,43,
Apr,1959,unknown,NSW,"maroubra beach, sydney",-33.95,151.250.,coastal,unknown,,,,,,,,
Nov,1959,injured,QLD,"northcliffe beach, gold coast",-28.01666667,153.4333333,coastal,tiger shark,4.5,provoked,swimming,,leg,male,19,
Nov,1959,injured,VIC,"fairhaven beach, lorne",-38.45,144.0833333,coastal,white shark,4,unprovoked,swimming,,leg,male,19,
Dec,1959,fatal,QLD,"moreton bay, wynnum",-27.43333333,153.1666667,coastal,tiger shark,,unprovoked,swimming,,,male,29,
Dec,1959,uninjured,QLD,"moreton bay, scott's point beach, redcliff",-27.23333333,153.1,coastal,tiger shark,3.6,provoked,boarding,,other: uninjured,male,,
Jan,1960,injured,VIC,"port phillip bay, ricketts point, parkdale",-37.98333333,145.0166667,coastal,bronze whaler shark,2.5,provoked,spearfishing,in front,head,male,,
Jan,1960,fatal,NSW,"roseville bridge, sydney",-33.76666667,151.2,river,bull shark,3.3,unprovoked,snorkelling,,leg,male,13,
Apr,1960,injured,VIC,"port phillip bay, canadian bay, mount eliza,",-38.16666667,145.0666667,island open ocean,bronze whaler shark,1.5,provoked,spearfishing,,head,male,,
Apr,1960,injured,NSW,"horseshoe bay, kempsey",-30.86666667,153.0333333,coastal,white shark,3.7,unprovoked,swimming,other: side,"arm, torso",male,17,
Apr,1960,uninjured,NSW,"port stephens, broughton island",-32.6,152.3166667,coastal,bronze whaler shark,3.6,provoked,spearfishing,,other: uninjured,male,,
Nov,1960,injured,QLD,"mackay, black beach",-21.13333333,149.2,coastal,whaler shark,0.9,unprovoked,swimming,,"arm, shoulder",male,44,
Nov,1960,injured,WA,hamelin bay,-34.21666667,115.0166667,coastal,wobbegong,,provoked,spearfishing,,arm,male,24,
Dec,1960,injured,NSW,"manly, shelly beach",-33.78333333,151.2833333,coastal,whaler shark,3,unprovoked,swimming,,torso,female,27,
Dec,1960,injured,QLD,"brisbane river, college crossing",-27.36666667,153.15,river,bull shark,1,unprovoked,swimming,,thigh,male,33,
Jan,1961,injured,NSW,nambucca heads,-30.63333333,153.1833333,ocean/pelagic,dogfish,1.3,provoked,swimming,,head,male,40,
Feb,1961,injured,VIC,"port phillip bay, mount martha beach",-38.26666667,145.0166667,coastal,wobbegong,,unprovoked,swimming,,,female,,
Feb,1961,uninjured,WA,carnac island,-32.11666667,115.65,island open ocean,wobbegong,2.7,provoked,spearfishing,,other: uninjured,male,,
Mar,1961,injured,SA,"glenelg, adelaide",-34.96666667,138.5,coastal,bronze whaler shark,,provoked,spearfishing,,leg,male,24,
Mar,1961,injured,VIC,"lady bay beach, warrnambool",-38.38333333,142.4833333,coastal,white shark,3.1,unprovoked,swimming,,torso,male,21,
Mar,1961,injured,SA,aldinga beach,-35.28333333,138.4333333,coastal,white shark,3.6,provoked,spearfishing,"behind, above","arm, leg",male,21,
Apr,1961,uninjured,VIC,flinders beach,-38.46666667,145.0166667,coastal,dusky shark,2.7,provoked,spearfishing,behind,other: uninjured,male,24,
Dec,1961,fatal,QLD,"noosa heads, laguna bay",-26.36666667,153.0833333,coastal,bull shark,3,unprovoked,boarding,behind,"arm, leg",male,22,
Dec,1961,injured,QLD,"mackay, lamberts beach",-21.06666667,149.2166667,coastal,tiger shark,3,unprovoked,swimming,,"arm, hand",male,24,
Dec,1961,fatal,QLD,"mackay, lamberts beach",-21.06666667,149.2166667,coastal,tiger shark,3,unprovoked,swimming,,"arm, thigh",female,18,
Dec,1961,injured,QLD,"torres strait, horn island",-10.38333333,142.2833333,island open ocean,tiger shark,2,unprovoked,swimming,,leg,male,17,
Jan,1962,injured,NSW,lennox head,-28.78333333,153.5833333,coastal,white shark,,unprovoked,boarding,below,foot,male,19,
Jan,1962,uninjured,NSW,"long reef, sydney",-33.73333333,151.3,coastal,white shark,2,unprovoked,boarding,,other: uninjured,male,,
Feb,1962,injured,QLD,"greenmount beach, coolangatta",-28.15,153.5333333,coastal,wobbegong,0.6,provoked,swimming,,leg,male,35,
Nov,1962,uninjured,NSW,"long reef, sydney",-33.73333333,151.3166667,coastal,whaler shark,3,provoked,spearfishing,below,other: uninjured,male,26,
Dec,1962,fatal,SA,carrickalinga head,-35.4,138.3166667,coastal,white shark,3.6,provoked,spearfishing,,leg,male,16,
Jan,1963,fatal,NSW,"middle harbour, sydney harbour",-33.78333333,151.2333333,estuary/harbour,bull shark,3,unprovoked,other: standing in water,,leg,female,32,
Feb,1963,injured,NSW,"austinmer beach, wollongong",-34.3,150.9333333,coastal,bronze whaler shark,3,provoked,spearfishing,below,calf,male,18,
Apr,1963,injured,WA,"yallingup, south perth",-33.63333333,115,coastal,white shark,2.3,unprovoked,boarding,other: side,arm,male,25,
Dec,1963,injured,SA,aldinga beach,-35.28333333,138.4333333,coastal,white shark,5,provoked,spearfishing,right,"arm, torso",male,23,
Jan,1964,uninjured,WA,off coast of western aust,-31.95,115.85,coastal,whaler shark,2.5,provoked,spearfishing,in front,other: uninjured,male,,
Jan,1964,injured,WA,hamelin bay,-34.21666667,115.0166667,coastal,wobbegong,,provoked,spearfishing,,arm,male,,
Mar,1964,injured,SA,"paradise beach, nr victor harbour",-35.53333333,138.6166667,coastal,white shark,,unprovoked,boarding,below,thigh,male,19,
Oct,1964,injured,WA,mandurah,-32.51666667,115.6833333,coastal,,,provoked,swimming,,leg,male,19,
Nov,1964,injured,VIC,lady julia percy island,-38.41666667,142,island open ocean,white shark,4,provoked,snorkelling,below,leg,male,25,
Jan,1965,injured,VIC,port melbourne,-37.83333333,144.9333333,coastal,wobbegong,1.5,provoked,other: standing in water,,thigh,male,,
Nov,1965,injured,QLD,"cairns, oak beach",-16.91666667,145.7666667,coastal,tiger shark,2.4,unprovoked,boarding,right,thigh,male,24,
Dec,1965,injured,WA,rottnest island,-31.98333333,115.5333333,island open ocean,wobbegong,2,provoked,spearfishing,below,leg,male,40,
Feb,1966,injured,NSW,coledale beach near wollongong,-34.28333333,150.9333333,coastal,white shark,2.5,unprovoked,swimming,"left, below","arm, leg",male,13,
May,1966,fatal,NSW,jervis bay,-35.03333333,150.7166667,coastal,white shark,,unprovoked,swimming,,"arm, shoulder",male,40,
Sep,1966,uninjured,WA,rottnest island,-31.98333333,115.5333333,island open ocean,shortfin mako shark,2,provoked,spearfishing,,other: uninjured,male,,
Dec,1966,injured,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,wobbegong,1.8,provoked,spearfishing,,leg,male,,
Dec,1966,injured,QLD,"heron island, broomfield reef",-23.43333333,151.9,island open ocean,bronze whaler shark,2.1,provoked,spearfishing,other: side,"torso, shoulder",male,,
Dec,1966,injured,TAS,"bicheno, piccaninny point, ",-41.86666667,148.3,coastal,white shark,1.8,provoked,swimming,,arm,male,30,
Dec,1966,injured,NSW,"south west rocks, trial bay",-30.88333333,153.05,coastal,wobbegong,,provoked,spearfishing,,"arm, hand",male,19,
Apr,1967,injured,NSW,"south coast, wollongong",-34.41666667,150.8833333,coastal,bronze whaler shark,2,provoked,spearfishing,in front,"arm, hand",male,21,
Aug,1967,fatal,WA,jurien bay,-30.25,115.0166667,coastal,white shark,4,provoked,spearfishing,,torso,male,23,
Feb,1968,injured,WA,"swan river, belmont",-31.95,115.85,river,bull shark,,unprovoked,swimming,,thigh,female,12,
Feb,1968,uninjured,SA,cape jervis,-35.6,138.0833333,coastal,bronze whaler shark,3,provoked,spearfishing,,other: uninjured,male,26,
Sep,1968,uninjured,SA,"thistle island, port lincoln",-35,136.1666667,island open ocean,white shark,,provoked,diving,,other: uninjured,male,,
Jan,1969,injured,NSW,"currarong beach, jervis bay",-35,150.8166667,coastal,bronze whaler shark,2.4,provoked,snorkelling,behind,leg,male,21,
Jun,1969,injured,NSW,"kiama, wollongong",-34.66666667,150.85,coastal,wobbegong,3.5,provoked,spearfishing,in front,"leg, hand",male,37,
Nov,1969,injured,WA,"swan river, perth",-31.95,115.85,river,bull shark,1.8,unprovoked,swimming,,leg,male,15,
Jan,1971,injured,TAS,east devonport beach,-41.15,148.35,coastal,school shark,,unprovoked,swimming,,torso,male,,
Feb,1971,injured,WA,esperance,-33.85,121.8833333,coastal,whaler shark,,provoked,spearfishing,,"arm, hand",male,21,
Dec,1971,fatal,QLD,"cape capricorn, gladstone",-23.48333333,151.2,coastal,tiger shark,3.6,unprovoked,swimming,below,other: body not recovered,male,19,
Feb,1972,injured,VIC,"sandy point, wilsons promotory",-38.81666667,148.0833333,coastal,white shark,,unprovoked,boarding,,leg,male,18,
Apr,1972,injured,QLD,"moreton bay, wellington point",-27.46666667,153.2333333,island open ocean,,,unprovoked,swimming,,leg,female,,
Aug,1972,injured,TAS,"tasman island, tasman peninsula",-43.23333333,148,coastal,white shark,3.6,provoked,diving,behind,foot,male,45,
Oct,1972,injured,NSW,"wairo beach, milton",-35.35,150.4666667,coastal,white shark,3,unprovoked,boarding,below,thigh,male,18,
Oct,1972,injured,QLD,"mackay, steven's reef (96km off mackay)",-17.1,146.4,ocean/pelagic,whaler shark,,provoked,spearfishing,,arm,male,24,
Nov,1972,uninjured,SA,"thistle island, port lincoln",-35,136.1666667,coastal,white shark,,provoked,diving,,other: uninjured,male,,
Jan,1973,injured,NSW,"umina beach, central coast",-33.51666667,151.3166667,coastal,white shark,,unprovoked,boarding,,foot,male,19,
Mar,1973,injured,QLD,"havana island, nr lucinda",-18.51666667,146.35,coastal,tiger shark,2,unprovoked,swimming,,"arm, hand",male,43,
Aug,1973,injured,QLD,"stradbroke island, point lookout",-27.41666667,153.5333333,island open ocean,white shark,4.1,unprovoked,boarding,below,foot,male,16,
Nov,1973,injured,QLD,"gin arm creek, north qld",-17.68333333,139.3666667,river,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1974,fatal,SA,streaky bay,-32.76666667,134.2,coastal,white shark,3.2,provoked,diving,,"arm, leg, torso",male,25,
Sep,1974,fatal,QLD,"south stradbroke island, jumpinpin ",-27.73333333,153.6833333,ocean/pelagic,tiger shark,,unprovoked,swimming,in front,torso,male,30,
Dec,1974,injured,WA,geographe bay,-33.63333333,115.35,coastal,wobbegong,,unprovoked,diving,,,male,32,
Jan,1975,fatal,SA,"port lincoln, almonta beach",-34.68333333,135.35,coastal,white shark,,unprovoked,boarding,,torso,male,17,
Feb,1975,injured,VIC,"cotters lake beach, wilsons promontory",-38.93333333,146.2333333,coastal,white shark,3.2,unprovoked,boarding,below,thigh,male,22,
Feb,1975,fatal,SA,"cactus beach, point sinclair, penong",-32.08333333,132.9666667,coastal,white shark,3,provoked,snorkelling,behind,leg,male,12,
Feb,1975,injured,VIC,"soapys point, anglesea",-38.4,144.1833333,coastal,wobbegong,2.4,provoked,snorkelling,other: side,"torso, shoulder",male,45,
Mar,1975,injured,QLD,mornington island,-16.55,139.4,island open ocean,tiger shark,,unprovoked,swimming,,"arm, hand",female,,
Jul,1975,injured,QLD,"maroochydore, alexandra head",-26.65,153.0833333,coastal,white shark,3,unprovoked,boarding,below,"leg, pelvic region",male,21,
Jul,1975,fatal,TAS,"bruny island, fluted cape",-43.35,147.35,coastal,white shark,,provoked,diving,,other: body not recovered,male,37,
Nov,1975,injured,NSW,"queenscliff beach, sydney",-33.78333333,151.2833333,coastal,wobbegong,2,provoked,spearfishing,,leg,male,20,
Sep,1976,injured,SA,point lowly,-32.98333333,137.7833333,coastal,white shark,2.7,provoked,spearfishing,,leg,male,17,
Feb,1977,injured,NSW,kingscliffe beach,-28.23333333,153.5666667,coastal,tiger shark,4,unprovoked,boarding,,,male,24,
Mar,1977,fatal,QLD,moreton bay,-27.25,153.25,coastal,tiger shark,4,unprovoked,swimming,,other: body not recovered,male,43,
Mar,1977,fatal,QLD,moreton bay,-27.25,153.25,coastal,tiger shark,4,unprovoked,swimming,,torso,male,74,
Apr,1977,injured,QLD,"burleigh heads, tallebudgera creek",-28.08333333,153.45,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,19,
Aug,1977,fatal,QLD,"caloundra, buddina beach",-26.68333333,153.1333333,coastal,tiger shark,,unprovoked,snorkelling,,"arm, torso, foot",male,26,
Aug,1977,injured,SA,cactus beach,-32.08333333,132.9666667,coastal,white shark,,unprovoked,boarding,below,thigh,male,17,
Aug,1978,uninjured,WA,"mullaloo beach, perth",-31.76666667,115.7166667,coastal,white shark,2,unprovoked,boarding,,other: uninjured,male,15,
Sep,1978,uninjured,TAS,munro bight,-43.16666667,147.9833333,coastal,white shark,,provoked,diving,,other: uninjured,male,34,
Dec,1978,injured,QLD,"bribie island, pumicestone passage",-26.8,153.1166667,coastal,bull shark,,unprovoked,swimming,,leg,male,15,
Jan,1979,uninjured,QLD,mooloolaba,-26.66666667,153.1166667,coastal,bronze whaler shark,2.4,provoked,swimming,,other: uninjured,male,,
Sep,1979,injured,NSW,"byron bay, the pass",-28.63333333,153.6166667,coastal,whaler shark,2,unprovoked,swimming,,thigh,male,18,
Jan,1980,injured,NSW,seal rocks,-32.43333333,152.5166667,coastal,wobbegong,1.8,provoked,diving,in front,arm,male,,
Mar,1980,injured,VIC,"shoreham beach, port phillip bay",-38.41666667,145.05,coastal,bronze whaler shark,3,provoked,spearfishing,in front,"arm, hand",male,42,
Mar,1980,injured,QLD,"stradbroke island, point lookout",-27.41666667,153.5333333,coastal,whaler shark,,unprovoked,boarding,,calf,male,21,
Sep,1980,uninjured,SA,cactus beach,-32.08333333,132.9666667,coastal,white shark,,unprovoked,boarding,,other: uninjured,male,,
Oct,1980,injured,QLD,marian reef,-16.91666667,145.7666667,coastal,grey reef shark,2,provoked,diving,in front,head,female,,
Nov,1980,injured,WA,lancelin,-31,115.3,coastal,white shark,,unprovoked,swimming,in front,torso,male,,
Jan,1981,uninjured,NSW,byron bay,-28.63333333,153.6166667,coastal,tiger shark,2.5,unprovoked,boarding,below,other: uninjured,male,27,
Feb,1981,injured,WA,"rottnest island, parker point",-32,115.5166667,island open ocean,wobbegong,1.5,unprovoked,swimming,,leg,male,37,
Feb,1981,injured,WA,"leighton beach, perth",-32.01666667,115.7333333,coastal,wobbegong,1,unprovoked,other: standing in water,,foot,male,,
Dec,1981,injured,QLD,green island,-16.75,145.9666667,island open ocean,tiger shark,,unprovoked,swimming,,torso,female,,
Feb,1982,uninjured,TAS,"recherche bay, the strip",-43.51666667,146.9,coastal,white shark,5.5,provoked,diving,,other: uninjured,male,,
Feb,1982,fatal,TAS,south cape bay,-43.56666667,146.8833333,coastal,white shark,6,provoked,spearfishing,,other: body not recovered,male,32,
Mar,1982,fatal,NSW,"byron bay, tallow beach",-28.63333333,153.6166667,coastal,white shark,,unprovoked,boarding,,leg,male,20,
Jul,1983,uninjured,QLD,"broadhurst reef, townsville",-18.9,147.7333333,island open ocean,tiger shark,4,unprovoked,swimming,,,male,33,
Jul,1983,fatal,QLD,"townsville, lodestone reef",-18.68333333,147.1,island open ocean,tiger shark,4,unprovoked,swimming,,other: body not recovered,female,21,
Jul,1983,fatal,QLD,"townsville, lodestone reef",-18.68333333,147.1,island open ocean,tiger shark,4,unprovoked,swimming,,other: body not recovered,male,24,
Nov,1983,injured,QLD,coolangatta beach,-28.16666667,153.5333333,coastal,tiger shark,,unprovoked,swimming,,thigh,male,10,
Dec,1983,injured,SA,south neptune island,-35.31666667,136.1,island open ocean,white shark,4,provoked,diving,in front,"arm, hand",male,,
